tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
86,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.18691777741427,-8.46062701909021,-52.00000000000000,0.00000000000000,0000
87,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.05862485155805,-8.12888108854867,-52.00000000000000,0.00000000000000,0000
88,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.92837278936507,-7.81014310200261,-52.00000000000000,0.00000000000000,0000
89,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.79630795709231,-7.50390301067247,-52.00000000000000,0.00000000000000,0000
90,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.66257028988532,-7.20967076507743,-52.00000000000000,0.00000000000000,0000
91,-52.00000000000000,0.00000000000000,-51.32944929048897,66.05427394172222,-73.19784426034232,-72.98124947257386,-52.00000000000000,0.00000000000000,0000
92,-52.00000000000000,0.00000000000000,-50.69186334141392,63.46424881408120,-73.69874223837211,-70.11961374939003,-52.00000000000000,0.00000000000000,0000
93,-52.00000000000000,0.00000000000000,-50.08588319761488,60.97578002430457,-74.16674533476152,-67.37018436785397,-52.00000000000000,0.00000000000000,0000
94,-52.00000000000000,0.00000000000000,-49.51020384990159,58.58488549142702,-74.60327525966267,-64.72856165437902,-52.00000000000000,0.00000000000000,0000
95,-52.00000000000000,0.00000000000000,-48.96357211322905,56.28773927411124,-75.00969666491348,-62.19051844904739,-52.00000000000000,0.00000000000000,0000
96,-52.00000000000000,0.00000000000000,-48.44478458813614,54.08066544832553,-75.38731939438354,-59.75199334125245,-52.00000000000000,0.00000000000000,0000
97,-52.00000000000000,0.00000000000000,-47.95268570218239,51.96013222508111,-75.73740064595249,-57.40908417057529,-52.00000000000000,0.00000000000000,0000
98,-52.00000000000000,0.00000000000000,-47.48616582824500,49.92274629881624,-76.06114704858750,-55.15804178249554,-52.00000000000000,0.00000000000000,0000
99,-52.00000000000000,0.00000000000000,-47.04415947666213,47.96524741738337,-76.35971665785003,-52.99526402894431,-52.00000000000000,0.00000000000000,0000
100,-52.00000000000000,0.00000000000000,-46.62564355832598,46.08450316495018,-76.63422087303157,-50.91729000409869,-52.00000000000000,0.00000000000000,0000
101,-52.00000000000000,0.00000000000000,-46.22963571594320,44.27750394946595,-76.88572627899249,-48.92079450619417,-52.00000000000000,0.00000000000000,0000
102,-52.00000000000000,0.00000000000000,-45.85519272078918,42.54135818667217,-77.11525641565795,-47.00258271649235,-52.00000000000000,0.00000000000000,0000
103,-52.00000000000000,0.00000000000000,-45.50140893238741,40.87328767295084,-77.32379347800835,-45.15958508688936,-52.00000000000000,0.00000000000000,0000
104,-52.00000000000000,0.00000000000000,-45.16741481864602,39.27062313960601,-77.51227994929117,-43.38885242798405,-52.00000000000000,0.00000000000000,0000
105,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.68162017007366,-41.68755118974571,-52.00000000000000,0.00000000000000,0100
106,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.83268184565341,-40.05295892722955,-52.00000000000000,0.00000000000000,0000
107,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.96629749424497,-38.48245994408391,-52.00000000000000,0.00000000000000,0000
108,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.08326583826573,-36.97354110687812,-52.00000000000000,0.00000000000000,0000
109,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.18435314095365,-35.52378782355280,-52.00000000000000,0.00000000000000,0000
110,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.27029449046125,-34.13088017955742,-52.00000000000000,0.00000000000000,0000
111,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.34179503348668,-32.79258922549212,-52.00000000000000,0.00000000000000,0000
112,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.39953116042153,-31.50677341031309,-52.00000000000000,0.00000000000000,0000
113,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.44415164391771,-30.27137515439404,-52.00000000000000,0.00000000000000,0000
114,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.47627873270073,-29.08441755695982,-52.00000000000000,0.00000000000000,0000
